date,features,strategy_idx,pnl,period_name,period_type,taleb_tail_exponent,taleb_expected_shortfall_95,taleb_expected_shortfall_99,taleb_es_pareto_95,taleb_es_pareto_99,taleb_fragility_score,taleb_excess_kurtosis,taleb_convexity_bias,taleb_tail_risk_ratio
1997-07-02,"[1.97000008e+01 1.94497835e-02 6.68424740e-02 8.53903711e-01
 7.72727251e-01 3.72876376e-01 9.85000014e-01 1.00000000e+00
 2.26313602e-02 8.00000012e-01]",5,0.003096650454817107,Asian Financial Crisis,black_swan,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
1997-07-03,"[17.81999969  0.01944978  0.06684247  0.89793873  0.86363637  0.37287638
  0.89099997  1.          0.04892567  0.80000001]",5,0.00015249036214888269,Asian Financial Crisis,black_swan,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
1997-07-07,"[19.12999916  0.01944978  0.06684247  0.9906407   0.54545456  0.37287638
  0.95649993  1.          0.02130315  0.80000001]",5,0.009259692017808963,Asian Financial Crisis,black_swan,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
1997-07-08,"[18.76000023  0.01944978  0.06684247  0.96923965  0.54545456  0.37287638
  0.93800002  1.          0.0343672   0.80000001]",0,-3.38810065587003e-05,Asian Financial Crisis,black_swan,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
1997-07-09,"[2.03999996e+01 1.94497835e-02 6.68424740e-02 1.23117530e+00
 3.18181813e-01 3.72876376e-01 1.01999998e+00 1.00000000e+00
 2.53841374e-02 8.99999976e-01]",5,0.009883751033241196,Asian Financial Crisis,black_swan,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
1997-07-10,"[1.99200001e+01 7.47176958e-03 6.68424740e-02 1.11415553e+00
 4.09090906e-01 3.72876376e-01 9.95999992e-01 1.00000000e+00
 2.75128707e-02 8.99999976e-01]",5,0.01045432306500349,Asian Financial Crisis,black_swan,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
1997-07-11,"[ 1.90599995e+01 -2.87659047e-03  6.68424740e-02  1.02494049e+00
  5.45454562e-01  3.72876376e-01  9.52999949e-01  1.00000000e+00
  4.13404070e-02  8.99999976e-01]",5,0.01930574968471388,Asian Financial Crisis,black_swan,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
1997-07-14,"[1.95799999e+01 1.03720203e-02 6.68424740e-02 9.61311877e-01
 5.45454562e-01 3.72876376e-01 9.78999972e-01 1.00000000e+00
 2.36249343e-02 8.99999976e-01]",0,-0.001629370889367876,Asian Financial Crisis,black_swan,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
1997-07-15,"[1.90000000e+01 5.00354031e-03 6.68424740e-02 1.15357673e+00
 7.72727251e-01 3.72876376e-01 9.49999988e-01 1.00000000e+00
 3.36687677e-02 8.99999976e-01]",0,-0.0026342083347179915,Asian Financial Crisis,black_swan,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
1997-07-16,"[19.36000061  0.02920527  0.06684247  1.26065624  0.95454544  0.37287638
  0.96800005  1.          0.027708    0.89999998]",0,-0.005200018553367447,Asian Financial Crisis,black_swan,3.0894743466344248,0.02874684084582845,0.04945366113793542,0.026235130074329573,0.05032683103026015,-6.761258219967203e-10,13.889111947011536,4.718772445687547,2.1022351357640847
